Date,Customer_name,Transaction_id,Amount_Sent,Receiver_type,Receiver_location
25-10-24,Carmen Callaway,01JB4F8X52P5P44C1ZSZG2RS1E,571644,,Brazil
24-10-24,Ginny Radki,01JB4F8WZ4HW7AJ3GD033JD0XA,365530,Person,Syria
24-10-24,Pooh De Michetti,01JB4F8X12A661XHZS8CR6RW3Z,612524,Merchant,Colombia
24-10-24,Raymond Birchall,01JB4F8X9MCPJ0KGSK9TQ9HSCB,876796,Merchant,China
24-10-24,Lisetta Taillard,01JB4F8XHBG1EYBNHPSH0TH9TH,136150,,Poland
23-10-24,Peder Elphee,01JB4F8XDE387HJA4C6TP6X8KG,517097,NGO,Croatia
23-10-24,Risa Cozby,01JB4F8XDQGMMG02M56N8PE6YM,79544,,Poland
22-10-24,Kris Marchent,01JB4F8WZHP6CF9W2HQM672BPE,432265,Merchant,China
21-10-24,Dahlia Docharty,01JB4F8X7WG1A4NPY73A9AAACD,873441,Merchant,Philippines
20-10-24,Thomasina Parzis,01JB4F8WZF2DF8CX6Q2661YHZ8,147191,Merchant,China
20-10-24,Thomasina Parzis,01JB4F8X92WM9284G43BWAGFEK,568298,Person,Iran
20-10-24,Thomasina Parzis,01JB4F8XF7HAP2DXE6XYD0C76Y,345109,Person,China
20-10-24,Erhard McLeman,01JB4F8XFA2MFA0ADWYVKM0GT9,270500,Person,China
19-10-24,Verna Kenan,01JB4F8WZ3XBMH3KNEXK0MWTBK,39504,Person,Sweden
19-10-24,Kristofor Trawin,01JB4F8X3M3E49JB79AJ3B3XBP,479803,,Tajikistan
19-10-24,Laurent Lewknor,01JB4F8X94MCG9JR8C5CC4SFDD,246133,NGO,Kenya
19-10-24,Ethelbert Haimes,01JB4F8XCQ216PXS62XX944MR2,344464,NGO,Portugal
18-10-24,Suzi Gosson,01JB4F8WZKPV1GK1CXDV6RH645,181010,Merchant,United States
18-10-24,Bryana Stone,01JB4F8X9DMBPZQ37T8Q1F0X78,743936,,China
18-10-24,Blanch Norsister,01JB4F8XJZBWXM3W729XQF086P,739816,,China
16-10-24,Archambault Angood,01JB4F8X205S5J8SCM43S5G7PC,615847,,Indonesia
16-10-24,Forster Garbutt,01JB4F8XFHRPFQR06J8C64D3J3,531409,,China
15-10-24,Davon Rodgers,01JB4F8X3FB9NFEV01M5XM92PH,365416,,China
15-10-24,Patrizio Pynner,01JB4F8X4Z26373F9BTPENF9YQ,186035,,Nigeria
15-10-24,Griffy Wanderschek,01JB4F8XB4694E891F9SAHAJHE,176833,NGO,Thailand
14-10-24,Harlin Ismirnioglou,01JB4F8X2GZFHZ29Q0A3R4EJY9,267471,Person,China
14-10-24,Lorry Chapier,01JB4F8XE9K91FFD49HETS8SR6,165112,Person,Tunisia
14-10-24,Raffaello Knill,01JB4F8XJW348SMAYBYF44VDS4,964887,NGO,South Korea
14-10-24,Hestia Chawner,01JB4F8XMEY4X8NG4J9S2161WH,689592,,Poland
13-10-24,Kyle Karlqvist,01JB4F8X4SC7DCEY9RK17V2TE0,81628,,China
13-10-24,Noak Filon,01JB4F8XH13G1ZA85CQMTVPJNF,822732,,Belarus
13-10-24,Merrill Leahair,01JB4F8XKQNZZXR813Q03GQG0Z,788883,Person,
11-10-24,Aubrey Macy,01JB4F8WZES76V20R5TR5DKN6V,653644,,United States
11-10-24,Dorris Froom,01JB4F8XEB7KFK9EE05VY26V1P,169963,Person,United States
10-10-24,Cullin Chadbourn,01JB4F8XEB7KFK9EE05VY26V1P,158301,Person,China
10-10-24,Crawford Sotworth,01JB4F8X32T3VFAGG1ZF854PR3,550861,NGO,
10-10-24,Tanya Bonifant,01JB4F8X511AY3B1Y4Y6XGYRKK,605838,NGO,Brazil
10-10-24,Burty Ellin,01JB4F8XCXGTQH9HDFRCRXSJQD,28596,Person,Poland
09-10-24,Rawley Craig,01JB4F8WYS86Z8E3DRY7WSZBAW,695673,,Brazil
09-10-24,Hazel McMenamy,01JB4F8X2TMZ9S255KASGTDQ8N,452594,NGO,Mexico
09-10-24,Ritchie Othick,01JB4F8XCHJF5VDNAB129HCJFC,865605,Person,Bangladesh
09-10-24,Ricard Lasty,01JB4F8XFB94WPGKQ2GES5VRRQ,159564,NGO,Russia
09-10-24,Tomkin Choldcroft,01JB4F8XMJM12FZJ5G3ECQ5YBC,904239,Person,Mexico
08-10-24,Georgianna Marien,01JB4F8X9C469825XWRV98T76E,737112,Person,United States
08-10-24,Golda Matusovsky,01JB4F8XK83XYJYM87CBPDNXW2,277937,NGO,Poland
07-10-24,Sandy Galfour,01JB4F8X305P5401M4HH8JT4AQ,597126,Person,Thailand
07-10-24,Mirilla Steptow,01JB4F8XBDX9QGSSD27QFMST7M,527380,Person,Sweden
05-10-24,Biddy Purshouse,01JB4F8X778KB2Z5Q9WNFSGDRD,781078,Person,Canada
05-10-24,Cordelia Ruffler,01JB4F8XFRSBFQ2Q13YVT1VX13,947613,,Philippines
04-10-24,Forest Milillo,01JB4F8XFGBWBQHJPMZ51YBQ74,346454,Merchant,Brazil
02-10-24,Aleece Ingrem,01JB4F8X9N0PWCX1M44FPBBGWD,270221,NGO,Ukraine
01-10-24,Humfried MacAiline,01JB4F8XAAQ3JPGEQ0S39KN3MN,604882,NGO,China
01-10-24,Skye Deniskevich,01JB4F8XJ72A5FETPZN0FFH2GT,777771,Merchant,Czech Republic
01-10-24,Grazia Bramford,01JB4F8XMDGMKMNN9AJ4EKPVX7,39442,,Mexico
30-09-24,Pembroke Ivoshin,01JB4F8X48HKP3CJWH9SSTKVMK,992801,NGO,China
30-09-24,Malorie Sleeford,01JB4F8XM7T4QY8HBGCC29E400,220518,,France
