Date,Customer_name,Transaction_id,Amount_Sent,Receiver_type,Receiver_location,Status,Reason,Recommendation
11-10-24,Dorris Froom,01JB4F8XEB7KFK9EE05VY26V1P,169963,Person,United States,Fraud,Transaction ID '01JB4F8XEB7KFK9EE05VY26V1P' is duplicated.,Investigation required.
10-10-24,Cullin Chadbourn,01JB4F8XEB7KFK9EE05VY26V1P,158301,Person,China,Fraud,Transaction ID '01JB4F8XEB7KFK9EE05VY26V1P' is duplicated.,Investigation required.
25-10-24,Carmen Callaway,01JB4F8X52P5P44C1ZSZG2RS1E,571644,Unknown,Brazil,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
24-10-24,Lisetta Taillard,01JB4F8XHBG1EYBNHPSH0TH9TH,136150,Unknown,Poland,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
23-10-24,Risa Cozby,01JB4F8XDQGMMG02M56N8PE6YM,79544,Unknown,Poland,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
19-10-24,Kristofor Trawin,01JB4F8X3M3E49JB79AJ3B3XBP,479803,Unknown,Tajikistan,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
18-10-24,Bryana Stone,01JB4F8X9DMBPZQ37T8Q1F0X78,743936,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
18-10-24,Blanch Norsister,01JB4F8XJZBWXM3W729XQF086P,739816,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
16-10-24,Archambault Angood,01JB4F8X205S5J8SCM43S5G7PC,615847,Unknown,Indonesia,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
16-10-24,Forster Garbutt,01JB4F8XFHRPFQR06J8C64D3J3,531409,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
15-10-24,Davon Rodgers,01JB4F8X3FB9NFEV01M5XM92PH,365416,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
15-10-24,Patrizio Pynner,01JB4F8X4Z26373F9BTPENF9YQ,186035,Unknown,Nigeria,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
14-10-24,Hestia Chawner,01JB4F8XMEY4X8NG4J9S2161WH,689592,Unknown,Poland,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
13-10-24,Kyle Karlqvist,01JB4F8X4SC7DCEY9RK17V2TE0,81628,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
13-10-24,Noak Filon,01JB4F8XH13G1ZA85CQMTVPJNF,822732,Unknown,Belarus,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
13-10-24,Merrill Leahair,01JB4F8XKQNZZXR813Q03GQG0Z,788883,Person,Unknown,Fraud,Flagged due to unknown receiver location.,Investigation required.
11-10-24,Aubrey Macy,01JB4F8WZES76V20R5TR5DKN6V,653644,Unknown,United States,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
10-10-24,Crawford Sotworth,01JB4F8X32T3VFAGG1ZF854PR3,550861,NGO,Unknown,Fraud,Flagged due to unknown receiver location.,Investigation required.
09-10-24,Rawley Craig,01JB4F8WYS86Z8E3DRY7WSZBAW,695673,Unknown,Brazil,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
05-10-24,Cordelia Ruffler,01JB4F8XFRSBFQ2Q13YVT1VX13,947613,Unknown,Philippines,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
01-10-24,Grazia Bramford,01JB4F8XMDGMKMNN9AJ4EKPVX7,39442,Unknown,Mexico,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
30-09-24,Malorie Sleeford,01JB4F8XM7T4QY8HBGCC29E400,220518,Unknown,France,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
29-09-24,Birgit Manilow,01JB4F8X1BYGHGZHQCF86ZRX68,350501,Unknown,China,Flagged Fraud,Flagged due to unknown receiver type.,Confirm with Sender.
29-09-24,Brandea Basset,01JB4F8XC4W40BV88SBDP2AGD4,850169,Person,Unknown,Fraud,Flagged due to unknown receiver location.,Investigation required.
